Time,O2,DIC,TA,C_pbr,C_tot,1,pH,CO2,HCO3,CO3,PM,P_CO2,P_HCO3,P_CO3,R
2.5146629603891593,205.77373543653238,1301.3612692594209,2000.6650264733796,2568.680366947012,2567.680366947012,0.0,8.67005254815001,1.2781595678706241,859.4418687603041,440.64124093124605,4800.0,0.0,0.0,0.0,-480.0
2.5175121612230718,205.773844831135,1307.8500584260034,2000.6650264733796,2567.312755346734,2566.312755346734,0.0,8.661266015769336,1.3197089728244653,869.6070837644414,436.92326568873733,4800.0,0.0,0.0,0.0,-480.0
2.5203613620569842,205.77390682199086,1314.3174902802307,2000.6650264733796,2565.945143746456,2564.945143746456,0.0,8.652519794769002,1.3622603418380403,879.7490204059502,433.2062095324423,4800.0,0.0,0.0,0.0,-480.0
2.5232105628908967,205.7739419504718,1320.76305167141,2000.6650264733796,2564.577532146178,2563.577532146178,0.0,8.643812997889075,1.4058303836877724,889.866395855698,429.49082543202417,4800.0,0.0,0.0,0.0,-480.0
2.5260597637248092,205.7739618567976,1327.186220932774,2000.6650264733796,2563.2099205459,2562.2099205459,0.0,8.635144777126687,1.4504359210398596,899.9579287169045,425.77785629482975,4800.0,0.0,0.0,0.0,-480.0
2.5289089645587217,205.7739731371546,1333.586467826826,2000.6650264733796,2561.842308945622,2560.842308945622,0.0,8.626514323755323,1.4960938776853911,910.0223381972794,422.06803575186126,4800.0,0.0,0.0,0.0,-480.0
2.531758165392634,205.77397952941683,1339.9632534974755,2000.6650264733796,2560.474697345344,2559.474697345344,0.0,8.617920868363045,1.5428212645577368,920.058343334073,418.3620888988447,4800.0,0.0,0.0,0.0,-480.0
2.5346073662265467,205.77398315173272,1346.3160304295964,2000.6650264733796,2559.107085745066,2558.107085745066,0.0,8.609363680909908,1.590635164471539,930.0646622719667,414.6607329931581,4800.0,0.0,0.0,0.0,-480.0
2.5374565670604587,205.77398520439763,1352.64424241668,2000.6650264733796,2557.739474144788,2556.739474144788,0.0,8.60084207080909,1.6395527154994192,940.0400115908843,410.9646781102963,4800.0,0.0,0.0,0.0,-480.0
2.5403057678943712,205.7739863675853,1358.9473245372928,2000.6650264733796,2556.37186254451,2555.37186254451,0.0,8.592355387029794,1.6895910929283111,949.9831056850517,407.2746277593126,4800.0,0.0,0.0,0.0,-480.0
2.5416667461395264,205.77398672945176,1361.949071642611,2000.6650264733796,2555.7185977868353,2554.7185977868353,0.0,8.588313713320714,1.7138934120102114,954.7208480576593,405.5143301729415,4800.0,0.0,0.0,0.0,-480.0
