Time DIC TA
1.3045997220291872 673.9331082021972 1921.6001595629966
1.3104607366226548 727.7415887356235 1923.2819397762876
1.7852029186935374 1618.217617193362 1836.700435970583
1.793994440583739 1656.5087142505736 1828.4223717589784
2.298611190583971 774.4382068531852 1927.8547475449639
2.3068332175121613 752.1488727751305 2014.639635478147
2.5823009034051427 1482.3273421405647 1887.661537903674
2.5881619179986104 1328.7285638324588 2017.9879079784862
2.7916667461395264 1715.3554066306363 1992.4906440703219
2.798611190583971 1687.5303417593884 1939.9122451212897
3.298611190583971 607.0232809730144 2025.1284755169168
3.3061362056984023 789.6270409021879 2018.036051036758
3.5816038915913833 1380.5009948553413 2045.5422898228328
3.587464906184851 1420.75455719103 1966.7160076732007
3.7662258512856153 1735.6048097900152 1971.6742699273332
3.775017373175817 1725.7109976423167 1936.0324444409068
4.302508686587909 822.7657911886887 2061.5773995263003
4.3113002084781105 841.9367158642609 2125.654046643674
4.580906879777624 1686.6218559758486 2121.909284070147
4.5896984016678255 1525.919694574451 2157.5639026924546
4.774320361362058 1902.6575143063192 2119.495584064925
4.783111883252259 1814.7369853001294 2017.0791592534456
